date,winnerName,winnerScore,loserScore,loserName
2023-10-12,avolcy,11,7,deordone
2023-10-12,sguzman,11,4,deordone
2023-10-12,jsebasti,11,8,deordone
2023-10-12,rbarbier,11,5,sguzman
2023-10-12,rbarbier,11,6,jsebasti
2023-10-12,rbarbier,11,4,lji-wang
2023-10-12,jsebasti,12,10,oreshetn
2023-10-12,lji-wang,11,5,oreshetn
2023-10-12,eliagarc,11,4,lji-wang
2023-10-12,avolcy,13,11,oreshetn
2023-10-12,eliagarc,11,9,avolcy
2023-10-12,sguzman,11,8,eliagarc
2023-10-12,davifern,11,7,yuvelasc
2023-10-12,dkurcbar,11,8,yuvelasc
2023-10-12,aduenas-,11,1,dkurcbar
2023-10-12,jade-car,11,9,yuvelasc
2023-10-12,aduenas-,11,5,jade-car
2023-10-12,aduenas-,11,3,polmarti
2023-10-12,jade-car,11,8,rmedina-
2023-10-12,polmarti,11,6,rmedina-
2023-10-12,julolle-,11,7,rmedina-
2023-10-12,davifern,11,5,polmarti
2023-10-12,julolle-,12,10,davifern
2023-10-12,julolle-,1,-1,dkurcbar
2023-10-12,brandebr,11,0,eerazo-c
2023-10-12,wlin,11,7,eerazo-c
2023-10-12,bsaiago-,11,5,eerazo-c
2023-10-12,mpovill-,11,9,wlin
2023-10-12,bsaiago-,11,8,mpovill-
2023-10-12,rjobert,11,9,bsaiago-
2023-10-12,ncastell,11,1,wlin
2023-10-12,rjobert,11,9,ncastell
2023-10-12,brandebr,11,7,rjobert
2023-10-12,pestelle,11,5,ncastell
2023-10-12,pestelle,11,3,brandebr
2023-10-12,pestelle,12,10,mpovill-
2023-10-24,eliagarc,11,8,julolle-
2023-10-26,yuvelasc,11,6,wlin
2023-10-24,jsebasti,11,9,avolcy
2023-10-24,jsebasti,11,9,rjobert
2023-10-25,jsebasti,11,2,mpovill-
2023-10-28,polmarti,11,4,wlin
2023-10-24,dtome-pe,11,9,pborrull
2023-10-24,dtome-pe,11,3,mmaltas-
2023-10-28,pestelle,11,7,bsaiago-
2023-10-28,pestelle,11,5,julolle-
2023-10-23,bautrodr,11,6,eralonso
2023-10-24,bautrodr,11,7,mmaltas-
2023-10-26,bautrodr,11,2,lbastien
2023-10-25,baltes-g,11,3,mmaltas-
2023-10-25,rbarbier,11,1,brandebr
2023-10-24,eralonso,11,9,gpallare
2023-10-26,oreshetn,11,8,deordone
2023-10-24,brandebr,11,8,julolle-
2023-10-24,pborrull,11,5,eralonso
2023-10-24,pborrull,11,9,jmarinel
2023-10-27,pborrull,1,-1,andrmadr
2023-10-25,deordone,11,4,yuvelasc
2023-10-27,deordone,1,-1,eerazo-c
2023-10-24,aduenas-,11,3,eliagarc
2023-10-29,aduenas-,11,3,bsaiago-
2023-10-24,sguzman,11,1,ncastell
2023-10-24,sguzman,13,11,avolcy
2023-10-28,sguzman,11,9,jade-car
2023-10-27,jade-car,10,3,ncastell
2023-10-28,avolcy,11,8,jade-car
2023-10-29,davifern,11,7,eliagarc
2023-10-27,jmarinel,1,-1,laravena
2023-10-31,bautrodr,11,2,avolcy
2023-11-02,rjobert,11,8,julolle-
2023-10-31,rbarbier,11,7,bautrodr
2023-10-31,rbarbier,11,4,avolcy
2023-11-02,rbarbier,11,1,davifern
2023-11-02,pborrull,11,8,eliagarc
2023-11-02,deordone,11,6,bsaiago-
2023-11-02,eralonso,11,8,lbastien
2023-11-03,pborrull,11,1,polmarti
2023-11-03,julolle-,11,8,polmarti
2023-11-03,ncastell,11,5,eerazo-c
2023-11-03,davifern,11,6,avolcy
2023-11-03,deordone,11,7,oreshetn
2023-11-03,mmaltas-,11,7,jmarinel
2023-11-03,aduenas-,11,9,jsebasti
2023-11-03,andrmadr,11,8,eerazo-c
2023-11-04,aduenas-,11,4,sguzman
2023-11-04,sguzman,11,2,jsebasti
2023-11-04,wlin,11,4,ncastell
2023-11-04,aduenas-,1,-1,pestelle
2023-11-04,sguzman,1,-1,pestelle
2023-11-04,jsebasti,1,-1,pestelle
2023-11-06,pestelle,11,7,jsebasti
2023-11-11,rbarbier,11,3,sguzman
2023-11-11,aduenas-,11,9,rbarbier
2023-11-06,dkurcbar,11,2,ncastell
2023-11-06,avolcy,11,9,julolle-
2023-11-06,rjobert,14,12,jade-car
2023-11-06,avolcy,11,5,jade-car
2023-11-07,julolle-,12,10,deordone
2023-11-08,eralonso,11,8,wlin
2023-11-09,brandebr,11,3,julolle-
2023-11-09,eralonso,11,7,polmarti
2023-11-09,dtome-pe,11,3,brandebr
2023-11-09,wlin,12,10,polmarti
2023-11-09,dtome-pe,11,7,avolcy
2023-11-09,brandebr,11,3,eliagarc
2023-11-11,rbarbier,1,-1,bautrodr
2023-11-11,sguzman,1,-1,davifern
2023-11-11,sguzman,1,-1,pestelle
2023-11-11,jmarinel,11,0,eerazo-c
2023-11-15,pborrull,11,5,brandebr
2023-11-15,rbarbier,11,0,brandebr
2023-11-14,sguzman,11,8,avolcy
2023-11-14,avolcy,11,5,brandebr
2023-11-15,rbarbier,11,9,aduenas-
2023-11-16,pborrull,11,8,avolcy
2023-11-16,rmedina-,11,5,eerazo-c
